,Series ID,Date,Value,Annual_Per,Monhtly,3_Months,Half-Year,Yoy %
0,CUSR0000SETB01,2026-02-01,276.754,-5.6,0.8,-2.7,2.2,-5.6
1,CUSR0000SETB01,2026-01-01,274.547,-7.5,-3.2,-0.9,3.0,-7.5
2,CUSR0000SETB01,2025-12-01,283.599,-3.3,-0.3,1.0,5.1,-3.3
3,CUSR0000SETB01,2025-11-01,284.56,0.9,2.7,5.0,5.6,0.9
4,CUSR0000SETB01,2025-10-01,276.991,-1.6,-1.3,3.9,0.6,-1.6
5,CUSR0000SETB01,2025-09-01,280.658,-0.5,3.6,4.0,-0.5,-0.5
6,CUSR0000SETB01,2025-08-01,270.922,-6.7,1.6,0.5,-7.6,-6.7
7,CUSR0000SETB01,2025-07-01,266.542,-9.3,-1.2,-3.2,-10.2,-9.3
8,CUSR0000SETB01,2025-06-01,269.865,-8.3,0.1,-4.3,-7.9,-8.3
9,CUSR0000SETB01,2025-05-01,269.584,-11.9,-2.1,-8.1,-4.4,-11.9
10,CUSR0000SETB01,2025-04-01,275.454,-11.9,-2.4,-7.2,-2.2,-11.9
11,CUSR0000SETB01,2025-03-01,282.129,-9.9,-3.8,-3.8,0.0,-9.9
12,CUSR0000SETB01,2025-02-01,293.232,-3.3,-1.2,4.0,1.0,-3.3
13,CUSR0000SETB01,2025-01-01,296.78,-0.1,1.2,5.4,0.9,-0.1
14,CUSR0000SETB01,2024-12-01,293.155,-3.4,4.0,3.9,-0.3,-3.4
15,CUSR0000SETB01,2024-11-01,281.939,-8.1,0.1,-2.9,-7.8,-8.1
16,CUSR0000SETB01,2024-10-01,281.588,-12.1,-0.2,-4.2,-10.0,-12.1
17,CUSR0000SETB01,2024-09-01,282.057,-15.2,-2.8,-4.1,-9.9,-15.2
18,CUSR0000SETB01,2024-08-01,290.263,-10.3,-1.3,-5.1,-4.3,-10.3
19,CUSR0000SETB01,2024-07-01,294.025,-2.2,0.0,-6.0,-1.1,-2.2
20,CUSR0000SETB01,2024-06-01,294.143,-2.4,-3.8,-6.0,-3.0,-2.4
21,CUSR0000SETB01,2024-05-01,305.909,2.4,-2.2,0.9,-0.3,2.4
22,CUSR0000SETB01,2024-04-01,312.728,1.1,-0.1,5.2,-2.4,1.1
23,CUSR0000SETB01,2024-03-01,313.054,1.1,3.3,3.2,-5.9,1.1
24,CUSR0000SETB01,2024-02-01,303.183,-4.2,2.0,-1.2,-6.3,-4.2
25,CUSR0000SETB01,2024-01-01,297.154,-6.4,-2.0,-7.2,-1.2,-6.4
26,CUSR0000SETB01,2023-12-01,303.319,-1.9,-1.1,-8.8,0.6,-1.9
27,CUSR0000SETB01,2023-11-01,306.714,-8.8,-4.2,-5.2,2.6,-8.8
28,CUSR0000SETB01,2023-10-01,320.296,-5.0,-3.7,6.5,3.5,-5.0
29,CUSR0000SETB01,2023-09-01,332.732,3.1,2.8,10.4,7.4,3.1
30,CUSR0000SETB01,2023-08-01,323.701,-3.5,7.7,8.3,2.3,-3.5
31,CUSR0000SETB01,2023-07-01,300.625,-19.9,-0.3,-2.8,-5.3,-19.9
32,CUSR0000SETB01,2023-06-01,301.426,-26.4,0.9,-2.7,-2.5,-26.4
33,CUSR0000SETB01,2023-05-01,298.832,-19.5,-3.4,-5.5,-11.1,-19.5
34,CUSR0000SETB01,2023-04-01,309.412,-12.3,-0.1,-2.5,-8.3,-12.3
35,CUSR0000SETB01,2023-03-01,309.776,-17.6,-2.1,0.2,-4.1,-17.6
36,CUSR0000SETB01,2023-02-01,316.327,-2.2,-0.3,-5.9,-5.7,-2.2
37,CUSR0000SETB01,2023-01-01,317.38,1.4,2.7,-5.9,-15.5,1.4
38,CUSR0000SETB01,2022-12-01,309.091,-1.4,-8.1,-4.3,-24.6,-1.4
39,CUSR0000SETB01,2022-11-01,336.273,10.2,-0.3,0.3,-9.4,10.2
40,CUSR0000SETB01,2022-10-01,337.263,17.7,4.5,-10.2,-4.4,17.7
41,CUSR0000SETB01,2022-09-01,322.853,18.1,-3.7,-21.2,-14.1,18.1
42,CUSR0000SETB01,2022-08-01,335.333,25.7,-10.7,-9.7,3.7,25.7
43,CUSR0000SETB01,2022-07-01,375.422,44.1,-8.4,6.4,20.0,44.1
44,CUSR0000SETB01,2022-06-01,409.671,59.8,10.3,9.0,30.6,59.8
45,CUSR0000SETB01,2022-05-01,371.34,48.9,5.2,14.8,21.7,48.9
46,CUSR0000SETB01,2022-04-01,352.96,43.4,-6.1,12.8,23.2,43.4
47,CUSR0000SETB01,2022-03-01,375.953,47.8,16.3,19.9,37.6,47.8
48,CUSR0000SETB01,2022-02-01,323.33,37.8,3.3,6.0,21.2,37.8
49,CUSR0000SETB01,2022-01-01,312.894,40.0,-0.2,9.2,20.1,40.0
50,CUSR0000SETB01,2021-12-01,313.591,50.2,2.8,14.8,22.4,50.2
51,CUSR0000SETB01,2021-11-01,305.127,59.1,6.5,14.3,22.4,59.1
52,CUSR0000SETB01,2021-10-01,286.527,49.6,4.9,10.0,16.4,49.6
