,index,Series_ID,Dt,Value,Per_Change,datekey,Series_Name
0,187,CUSR0000SETB01,2025-07-01,266.00799560546875,-9.5,20250701,Gas
1,188,CUSR0000SETB01,2025-06-01,271.9070129394531,-8.3,20250601,Gas
2,189,CUSR0000SETB01,2025-05-01,269.1889953613281,-12.0,20250501,Gas
3,190,CUSR0000SETB01,2025-04-01,276.510009765625,-11.8,20250401,Gas
4,191,CUSR0000SETB01,2025-03-01,276.7650146484375,-9.8,20250301,Gas
5,192,CUSR0000SETB01,2025-02-01,295.22601318359375,-3.09,20250201,Gas
6,193,CUSR0000SETB01,2025-01-01,298.0799865722656,-0.2,20250101,Gas
7,194,CUSR0000SETB01,2024-12-01,292.9419860839844,-3.29,20241201,Gas
8,195,CUSR0000SETB01,2024-11-01,281.6130065917969,-8.1,20241101,Gas
9,196,CUSR0000SETB01,2024-10-01,280.8070068359375,-12.19,20241001,Gas
10,197,CUSR0000SETB01,2024-09-01,283.5880126953125,-15.19,20240901,Gas
11,198,CUSR0000SETB01,2024-08-01,290.3450012207031,-10.39,20240801,Gas
12,199,CUSR0000SETB01,2024-07-01,293.8139953613281,-2.29,20240701,Gas
13,200,CUSR0000SETB01,2024-06-01,296.4750061035156,-2.4,20240601,Gas
14,201,CUSR0000SETB01,2024-05-01,305.7330017089844,2.29,20240501,Gas
15,202,CUSR0000SETB01,2024-04-01,313.3489990234375,1.0,20240401,Gas
16,203,CUSR0000SETB01,2024-03-01,306.7430114746094,0.8,20240301,Gas
17,204,CUSR0000SETB01,2024-02-01,304.62298583984375,-3.9,20240201,Gas
18,205,CUSR0000SETB01,2024-01-01,298.5950012207031,-6.0,20240101,Gas
19,206,CUSR0000SETB01,2023-12-01,302.8680114746094,-1.7,20231201,Gas
20,207,CUSR0000SETB01,2023-11-01,306.35198974609375,-8.6,20231101,Gas
21,208,CUSR0000SETB01,2023-10-01,319.8290100097656,-5.19,20231001,Gas
22,209,CUSR0000SETB01,2023-09-01,334.4840087890625,3.09,20230901,Gas
23,210,CUSR0000SETB01,2023-08-01,324.0150146484375,-3.59,20230801,Gas
24,211,CUSR0000SETB01,2023-07-01,300.5830078125,-20.1,20230701,Gas
