"Series ID","Date","Value","Annual_Per","Monhtly","3_Months","Half-Year","Yoy %"
"CUSR0000SETB01","May 1 2026","378.660","40.5","7.0","36.8","33.1","40.5"
"CUSR0000SETB01","April 1 2026","353.740","28.4","5.4","28.8","27.7","28.4"
"CUSR0000SETB01","March 1 2026","335.500","18.9","21.2","18.3","19.5","18.9"
"CUSR0000SETB01","February 1 2026","276.754","-5.6","0.8","-2.7","2.2","-5.6"
"CUSR0000SETB01","January 1 2026","274.547","-7.5","-3.2","-0.9","3.0","-7.5"
"CUSR0000SETB01","December 1 2025","283.599","-3.3","-0.3","1.0","5.1","-3.3"
"CUSR0000SETB01","November 1 2025","284.560","0.9","2.7","5.0","5.6","0.9"
"CUSR0000SETB01","October 1 2025","276.991","-1.6","-1.3","3.9","0.6","-1.6"
"CUSR0000SETB01","September 1 2025","280.658","-0.5","3.6","4.0","-0.5","-0.5"
"CUSR0000SETB01","August 1 2025","270.922","-6.7","1.6","0.5","-7.6","-6.7"
"CUSR0000SETB01","July 1 2025","266.542","-9.3","-1.2","-3.2","-10.2","-9.3"
"CUSR0000SETB01","June 1 2025","269.865","-8.3","0.1","-4.3","-7.9","-8.3"
"CUSR0000SETB01","May 1 2025","269.584","-11.9","-2.1","-8.1","-4.4","-11.9"
"CUSR0000SETB01","April 1 2025","275.454","-11.9","-2.4","-7.2","-2.2","-11.9"
"CUSR0000SETB01","March 1 2025","282.129","-9.9","-3.8","-3.8","0.0","-9.9"
"CUSR0000SETB01","February 1 2025","293.232","-3.3","-1.2","4.0","1.0","-3.3"
"CUSR0000SETB01","January 1 2025","296.780","-0.1","1.2","5.4","0.9","-0.1"
"CUSR0000SETB01","December 1 2024","293.155","-3.4","4.0","3.9","-0.3","-3.4"
"CUSR0000SETB01","November 1 2024","281.939","-8.1","0.1","-2.9","-7.8","-8.1"
"CUSR0000SETB01","October 1 2024","281.588","-12.1","-0.2","-4.2","-10.0","-12.1"
"CUSR0000SETB01","September 1 2024","282.057","-15.2","-2.8","-4.1","-9.9","-15.2"
"CUSR0000SETB01","August 1 2024","290.263","-10.3","-1.3","-5.1","-4.3","-10.3"
"CUSR0000SETB01","July 1 2024","294.025","-2.2","0.0","-6.0","-1.1","-2.2"
"CUSR0000SETB01","June 1 2024","294.143","-2.4","-3.8","-6.0","-3.0","-2.4"
"CUSR0000SETB01","May 1 2024","305.909","2.4","-2.2","0.9","-0.3","2.4"
"CUSR0000SETB01","April 1 2024","312.728","1.1","-0.1","5.2","-2.4","1.1"
"CUSR0000SETB01","March 1 2024","313.054","1.1","3.3","3.2","-5.9","1.1"
"CUSR0000SETB01","February 1 2024","303.183","-4.2","2.0","-1.2","-6.3","-4.2"
"CUSR0000SETB01","January 1 2024","297.154","-6.4","-2.0","-7.2","-1.2","-6.4"
"CUSR0000SETB01","December 1 2023","303.319","-1.9","-1.1","-8.8","0.6","-1.9"
"CUSR0000SETB01","November 1 2023","306.714","-8.8","-4.2","-5.2","2.6","-8.8"
"CUSR0000SETB01","October 1 2023","320.296","-5.0","-3.7","6.5","3.5","-5.0"
"CUSR0000SETB01","September 1 2023","332.732","3.1","2.8","10.4","7.4","3.1"
"CUSR0000SETB01","August 1 2023","323.701","-3.5","7.7","8.3","2.3","-3.5"
"CUSR0000SETB01","July 1 2023","300.625","-19.9","-0.3","-2.8","-5.3","-19.9"
"CUSR0000SETB01","June 1 2023","301.426","-26.4","0.9","-2.7","-2.5","-26.4"
"CUSR0000SETB01","May 1 2023","298.832","-19.5","-3.4","-5.5","-11.1","-19.5"
"CUSR0000SETB01","April 1 2023","309.412","-12.3","-0.1","-2.5","-8.3","-12.3"
"CUSR0000SETB01","March 1 2023","309.776","-17.6","-2.1","0.2","-4.1","-17.6"
"CUSR0000SETB01","February 1 2023","316.327","-2.2","-0.3","-5.9","-5.7","-2.2"
"CUSR0000SETB01","January 1 2023","317.380","1.4","2.7","-5.9","-15.5","1.4"
"CUSR0000SETB01","December 1 2022","309.091","-1.4","-8.1","-4.3","-24.6","-1.4"
"CUSR0000SETB01","November 1 2022","336.273","10.2","-0.3","0.3","-9.4","10.2"
"CUSR0000SETB01","October 1 2022","337.263","17.7","4.5","-10.2","-4.4","17.7"
"CUSR0000SETB01","September 1 2022","322.853","18.1","-3.7","-21.2","-14.1","18.1"
"CUSR0000SETB01","August 1 2022","335.333","25.7","-10.7","-9.7","3.7","25.7"
"CUSR0000SETB01","July 1 2022","375.422","44.1","-8.4","6.4","20.0","44.1"
"CUSR0000SETB01","June 1 2022","409.671","59.8","10.3","9.0","30.6","59.8"
"CUSR0000SETB01","May 1 2022","371.340","48.9","5.2","14.8","21.7","48.9"
"CUSR0000SETB01","April 1 2022","352.960","43.4","-6.1","12.8","23.2","43.4"
"CUSR0000SETB01","March 1 2022","375.953","47.8","16.3","19.9","37.6","47.8"
"CUSR0000SETB01","February 1 2022","323.330","37.8","3.3","6.0","21.2","37.8"
"CUSR0000SETB01","January 1 2022","312.894","40.0","-0.2","9.2","20.1","40.0"
"CUSR0000SETB01","December 1 2021","313.591","50.2","2.8","14.8","22.4","50.2"
"CUSR0000SETB01","November 1 2021","305.127","59.1","6.5","14.3","22.4","59.1"
"CUSR0000SETB01","October 1 2021","286.527","49.6","4.9","10.0","16.4","49.6"
"CUSR0000SETB01","September 1 2021","273.260","41.5","2.4","6.6","7.4","41.5"
"CUSR0000SETB01","August 1 2021","266.871","41.7","2.4","7.0","13.7","41.7"
"CUSR0000SETB01","July 1 2021","260.515","40.8","1.6","5.9","16.5","40.8"
"CUSR0000SETB01","June 1 2021","256.305","43.9","2.8","0.7","22.8","43.9"
"CUSR0000SETB01","May 1 2021","249.382","55.6","1.4","6.2","30.0","55.6"
"CUSR0000SETB01","April 1 2021","246.052","49.3","-3.3","10.1","28.5","49.3"
"CUSR0000SETB01","March 1 2021","254.403","24.2","8.4","21.9","31.8","24.2"
"CUSR0000SETB01","February 1 2021","234.713","1.8","5.0","22.4","24.6","1.8"
"CUSR0000SETB01","January 1 2021","223.567","-7.8","7.1","16.7","20.8","-7.8"
"CUSR0000SETB01","December 1 2020","208.753","-14.5","8.8","8.1","17.2","-14.5"
"CUSR0000SETB01","November 1 2020","191.823","-19.0","0.2","1.9","19.7","-19.0"
"CUSR0000SETB01","October 1 2020","191.525","-17.6","-0.8","3.5","16.2","-17.6"
"CUSR0000SETB01","September 1 2020","193.069","-15.4","2.5","8.4","-5.8","-15.4"
"CUSR0000SETB01","August 1 2020","188.325","-18.0","1.8","17.5","-18.3","-18.0"
"CUSR0000SETB01","July 1 2020","185.072","-21.3","3.9","12.3","-23.6","-21.3"
"CUSR0000SETB01","June 1 2020","178.169","-23.1","11.2","-13.0","-27.0","-23.1"
"CUSR0000SETB01","May 1 2020","160.261","-33.9","-2.8","-30.5","-32.4","-33.9"
"CUSR0000SETB01","April 1 2020","164.836","-32.9","-19.6","-32.0","-29.1","-32.9"
"CUSR0000SETB01","March 1 2020","204.901","-10.9","-11.2","-16.1","-10.2","-10.9"
"CUSR0000SETB01","February 1 2020","230.646","6.2","-4.8","-2.6","0.4","6.2"
"CUSR0000SETB01","January 1 2020","242.397","16.1","-0.7","4.3","3.1","16.1"
"CUSR0000SETB01","December 1 2019","244.197","8.5","3.1","7.0","5.4","8.5"
"CUSR0000SETB01","November 1 2019","236.924","-0.6","2.0","3.1","-2.3","-0.6"
"CUSR0000SETB01","October 1 2019","232.348","-8.3","1.8","-1.2","-5.4","-8.3"
"CUSR0000SETB01","September 1 2019","228.230","-8.8","-0.7","-1.5","-0.8","-8.8"
"CUSR0000SETB01","August 1 2019","229.734","-6.7","-2.3","-5.3","5.8","-6.7"
"CUSR0000SETB01","July 1 2019","235.098","-2.6","1.5","-4.3","12.6","-2.6"
"CUSR0000SETB01","June 1 2019","231.691","-4.7","-4.5","0.7","2.9","-4.7"
"CUSR0000SETB01","May 1 2019","242.557","0.1","-1.3","11.7","1.8","0.1"
"CUSR0000SETB01","April 1 2019","245.651","2.9","6.8","17.7","-3.1","2.9"
"CUSR0000SETB01","March 1 2019","230.013","-0.6","5.9","2.2","-8.1","-0.6"
"CUSR0000SETB01","February 1 2019","217.237","-9.4","4.1","-8.8","-11.8","-9.4"
"CUSR0000SETB01","January 1 2019","208.730","-11.3","-7.3","-17.7","-13.5","-11.3"
"CUSR0000SETB01","December 1 2018","225.063","-1.7","-5.6","-10.1","-7.4","-1.7"
"CUSR0000SETB01","November 1 2018","238.309","4.1","-6.0","-3.2","-1.7","4.1"
"CUSR0000SETB01","October 1 2018","253.471","15.7","1.2","5.0","6.1","15.7"
"CUSR0000SETB01","September 1 2018","250.369","9.7","1.7","3.0","8.2","9.7"
"CUSR0000SETB01","August 1 2018","246.229","20.9","2.0","1.6","2.7","20.9"
"CUSR0000SETB01","July 1 2018","241.377","25.8","-0.7","1.1","2.6","25.8"
"CUSR0000SETB01","June 1 2018","243.105","24.2","0.3","5.1","6.2","24.2"
"CUSR0000SETB01","May 1 2018","242.344","22.5","1.5","1.1","5.9","22.5"
"CUSR0000SETB01","April 1 2018","238.803","14.2","3.2","1.5","9.0","14.2"
"CUSR0000SETB01","March 1 2018","231.325","9.8","-3.5","1.1","1.3","9.8"
"CUSR0000SETB01","February 1 2018","239.767","12.2","1.9","4.7","17.8","12.2"
"CUSR0000SETB01","January 1 2018","235.325","8.0","2.8","7.5","22.6","8.0"
"CUSR0000SETB01","December 1 2017","228.888","11.0","0.0","0.3","16.9","11.0"
"CUSR0000SETB01","November 1 2017","228.908","14.9","4.5","12.4","15.7","14.9"
"CUSR0000SETB01","October 1 2017","218.990","10.7","-4.1","14.1","4.7","10.7"
"CUSR0000SETB01","September 1 2017","228.252","20.3","12.1","16.6","8.3","20.3"
"CUSR0000SETB01","August 1 2017","203.585","10.8","6.1","2.9","-4.7","10.8"
"CUSR0000SETB01","July 1 2017","191.889","3.5","-2.0","-8.2","-11.9","3.5"
"CUSR0000SETB01","June 1 2017","195.797","-0.3","-1.0","-7.1","-5.1","-0.3"
"CUSR0000SETB01","May 1 2017","197.848","5.4","-5.4","-7.4","-0.7","5.4"
"CUSR0000SETB01","April 1 2017","209.074","13.2","-0.8","-4.0","5.7","13.2"
"CUSR0000SETB01","March 1 2017","210.690","20.3","-1.4","2.2","11.0","20.3"
"CUSR0000SETB01","February 1 2017","213.626","31.3","-2.0","7.2","16.3","31.3"
"CUSR0000SETB01","January 1 2017","217.892","20.1","5.6","10.2","17.5","20.1"
"CUSR0000SETB01","December 1 2016","206.244","8.1","3.5","8.7","5.0","8.1"
"CUSR0000SETB01","November 1 2016","199.220","0.1","0.7","8.4","6.2","0.1"
"CUSR0000SETB01","October 1 2016","197.788","-0.8","4.2","6.6","7.1","-0.8"
"CUSR0000SETB01","September 1 2016","189.766","-6.0","3.3","-3.4","8.3","-6.0"
"CUSR0000SETB01","August 1 2016","183.715","-18.6","-1.0","-2.1","12.9","-18.6"
"CUSR0000SETB01","July 1 2016","185.486","-20.0","-5.6","0.4","2.2","-20.0"
"CUSR0000SETB01","June 1 2016","196.440","-14.9","4.7","12.1","3.0","-14.9"
"CUSR0000SETB01","May 1 2016","187.627","-16.7","1.6","15.3","-5.7","-16.7"
"CUSR0000SETB01","April 1 2016","184.762","-12.7","5.5","1.8","-7.3","-12.7"
"CUSR0000SETB01","March 1 2016","175.164","-18.4","7.6","-8.2","-13.3","-18.4"
