index,Series_ID,Dt,Value,Per_Change,datekey
0,CUSR0000SA0,2025-07-01,322.13,2.7,20250701
1,CUSR0000SA0,2025-06-01,321.5,2.7,20250601
2,CUSR0000SA0,2025-05-01,320.58,2.4,20250501
3,CUSR0000SA0,2025-04-01,320.32,2.29,20250401
4,CUSR0000SA0,2025-03-01,319.61,2.4,20250301
5,CUSR0000SA0,2025-02-01,319.77,2.79,20250201
6,CUSR0000SA0,2025-01-01,319.09,3.0,20250101
7,CUSR0000SA0,2024-12-01,317.6,2.9,20241201
8,CUSR0000SA0,2024-11-01,316.45,2.7,20241101
9,CUSR0000SA0,2024-10-01,315.56,2.59,20241001
10,CUSR0000SA0,2024-09-01,314.85,2.4,20240901
11,CUSR0000SA0,2024-08-01,314.13,2.59,20240801
12,CUSR0000SA0,2024-07-01,313.57,2.9,20240701
13,CUSR0000SA0,2024-06-01,313.13,3.0,20240601
14,CUSR0000SA0,2024-05-01,313.14,3.2,20240501
15,CUSR0000SA0,2024-04-01,313.02,3.4,20240401
16,CUSR0000SA0,2024-03-01,312.11,3.5,20240301
17,CUSR0000SA0,2024-02-01,311.02,3.2,20240201
18,CUSR0000SA0,2024-01-01,309.79,3.09,20240101
19,CUSR0000SA0,2023-12-01,308.73,3.29,20231201
20,CUSR0000SA0,2023-11-01,308.09,3.09,20231101
21,CUSR0000SA0,2023-10-01,307.65,3.2,20231001
22,CUSR0000SA0,2023-09-01,307.37,3.7,20230901
23,CUSR0000SA0,2023-08-01,306.14,3.7,20230801
24,CUSR0000SA0,2023-07-01,304.61,3.29,20230701
25,CUSR0000SA0,2023-06-01,304.1,3.09,20230601
26,CUSR0000SA0,2023-05-01,303.32,4.09,20230501
27,CUSR0000SA0,2023-04-01,302.86,4.9,20230401
28,CUSR0000SA0,2023-03-01,301.64,4.9,20230301
29,CUSR0000SA0,2023-02-01,301.48,6.0,20230201
30,CUSR0000SA0,2023-01-01,300.46,6.3,20230101
31,CUSR0000SA0,2022-12-01,298.81,6.4,20221201
32,CUSR0000SA0,2022-11-01,298.71,7.09,20221101
33,CUSR0000SA0,2022-10-01,297.98,7.8,20221001
34,CUSR0000SA0,2022-09-01,296.42,8.19,20220901
35,CUSR0000SA0,2022-08-01,295.16,8.19,20220801
36,CUSR0000SA0,2022-07-01,294.94,8.39,20220701
37,CUSR0000SA0,2022-06-01,295.07,9.0,20220601
38,CUSR0000SA0,2022-05-01,291.3,8.5,20220501
39,CUSR0000SA0,2022-04-01,288.58,8.19,20220401
40,CUSR0000SA0,2022-03-01,287.47,8.5,20220301
41,CUSR0000SA0,2022-02-01,284.52,7.9,20220201
42,CUSR0000SA0,2022-01-01,282.54,7.59,20220101
43,CUSR0000SA0,2021-12-01,280.81,7.19,20211201
44,CUSR0000SA0,2021-11-01,278.82,6.9,20211101
45,CUSR0000SA0,2021-10-01,276.53,6.19,20211001
46,CUSR0000SA0,2021-09-01,273.94,5.4,20210901
47,CUSR0000SA0,2021-08-01,272.75,5.19,20210801
48,CUSR0000SA0,2021-07-01,271.96,5.3,20210701
49,CUSR0000SA0,2021-06-01,270.71,5.3,20210601
50,CUSR0000SA0,2021-05-01,268.4,4.9,20210501
51,CUSR0000SA0,2021-04-01,266.62,4.09,20210401
52,CUSR0000SA0,2021-03-01,264.85,2.59,20210301
53,CUSR0000SA0,2021-02-01,263.57,1.7,20210201
54,CUSR0000SA0,2021-01-01,262.64,1.39,20210101
55,CUSR0000SA0,2020-12-01,262.05,1.29,20201201
56,CUSR0000SA0,2020-11-01,260.91,1.2,20201101
57,CUSR0000SA0,2020-10-01,260.32,1.2,20201001
58,CUSR0000SA0,2020-09-01,260.0,1.39,20200901
59,CUSR0000SA0,2020-08-01,259.32,1.29,20200801
60,CUSR0000SA0,2020-07-01,258.35,1.0,20200701
61,CUSR0000SA0,2020-06-01,257.04,0.69,20200601
62,CUSR0000SA0,2020-05-01,255.8,0.2,20200501
63,CUSR0000SA0,2020-04-01,256.03,0.3,20200401
64,CUSR0000SA0,2020-03-01,258.08,1.5,20200301
65,CUSR0000SA0,2020-02-01,259.25,2.29,20200201
66,CUSR0000SA0,2020-01-01,259.13,2.59,20200101
67,CUSR0000SA0,2019-12-01,258.63,2.29,20191201
68,CUSR0000SA0,2019-11-01,257.88,2.09,20191101
69,CUSR0000SA0,2019-10-01,257.15,1.7,20191001
70,CUSR0000SA0,2019-09-01,256.43,1.7,20190901
71,CUSR0000SA0,2019-08-01,256.04,1.7,20190801
72,CUSR0000SA0,2019-07-01,255.8,1.79,20190701
73,CUSR0000SA0,2019-06-01,255.21,1.7,20190601
74,CUSR0000SA0,2019-05-01,255.3,1.79,20190501
75,CUSR0000SA0,2019-04-01,255.23,2.0,20190401
76,CUSR0000SA0,2019-03-01,254.28,1.89,20190301
77,CUSR0000SA0,2019-02-01,253.32,1.5,20190201
78,CUSR0000SA0,2019-01-01,252.56,1.5,20190101
79,CUSR0000SA0,2018-12-01,252.77,2.0,20181201
80,CUSR0000SA0,2018-11-01,252.59,2.09,20181101
81,CUSR0000SA0,2018-10-01,252.77,2.5,20181001
82,CUSR0000SA0,2018-09-01,252.18,2.29,20180901
83,CUSR0000SA0,2018-08-01,251.66,2.59,20180801
84,CUSR0000SA0,2018-07-01,251.21,2.9,20180701
85,CUSR0000SA0,2018-06-01,251.02,2.79,20180601
86,CUSR0000SA0,2018-05-01,250.79,2.79,20180501
87,CUSR0000SA0,2018-04-01,250.23,2.5,20180401
88,CUSR0000SA0,2018-03-01,249.58,2.29,20180301
89,CUSR0000SA0,2018-02-01,249.53,2.29,20180201
90,CUSR0000SA0,2018-01-01,248.86,2.2,20180101
91,CUSR0000SA0,2017-12-01,247.8,2.09,20171201
92,CUSR0000SA0,2017-11-01,247.28,2.2,20171101
93,CUSR0000SA0,2017-10-01,246.63,2.0,20171001
94,CUSR0000SA0,2017-09-01,246.43,2.2,20170901
95,CUSR0000SA0,2017-08-01,245.18,1.89,20170801
96,CUSR0000SA0,2017-07-01,244.24,1.7,20170701
97,CUSR0000SA0,2017-06-01,244.16,1.6,20170601
98,CUSR0000SA0,2017-05-01,244.0,1.89,20170501
99,CUSR0000SA0,2017-04-01,244.19,2.2,20170401
100,CUSR0000SA0,2017-03-01,243.89,2.4,20170301
101,CUSR0000SA0,2017-02-01,244.01,2.79,20170201
102,CUSR0000SA0,2017-01-01,243.62,2.5,20170101
103,CUSR0000SA0,2016-12-01,242.64,2.09,20161201
104,CUSR0000SA0,2016-11-01,242.03,1.7,20161101
105,CUSR0000SA0,2016-10-01,241.74,1.7,20161001
106,CUSR0000SA0,2016-09-01,241.18,1.5,20160901
107,CUSR0000SA0,2016-08-01,240.54,1.1,20160801
108,CUSR0000SA0,2016-07-01,240.1,0.89,20160701
109,CUSR0000SA0,2016-06-01,240.22,1.1,20160601
110,CUSR0000SA0,2016-05-01,239.56,1.1,20160501
111,CUSR0000SA0,2016-04-01,238.99,1.2,20160401
112,CUSR0000SA0,2016-03-01,238.08,0.89,20160301
113,CUSR0000SA0,2016-02-01,237.34,0.8,20160201
114,CUSR0000SA0,2016-01-01,237.65,1.2,20160101
115,CUSR0000SA0,2015-12-01,237.76,0.6,20151201
116,CUSR0000SA0,2015-11-01,238.02,0.4,20151101
117,CUSR0000SA0,2015-10-01,237.73,0.1,20151001
118,CUSR0000SA0,2015-09-01,237.5,0.0,20150901
119,CUSR0000SA0,2015-08-01,238.03,0.2,20150801
120,CUSR0000SA0,2015-07-01,238.03,0.2,20150701
121,CUSR0000SA0,2015-06-01,237.66,0.2,20150601
122,CUSR0000SA0,2015-05-01,237.0,0.0,20150501
123,CUSR0000SA0,2015-04-01,236.22,-0.1,20150401
124,CUSR0000SA0,2015-03-01,235.98,0.0,20150301
125,CUSR0000SA0,2015-02-01,235.34,-0.1,20150201
126,CUSR0000SA0,2015-01-01,234.75,-0.2,20150101
127,CUSR0000SA0,2014-12-01,236.25,0.69,20141201
128,CUSR0000SA0,2014-11-01,236.98,1.2,20141101
129,CUSR0000SA0,2014-10-01,237.43,1.6,20141001
130,CUSR0000SA0,2014-09-01,237.48,1.7,20140901
131,CUSR0000SA0,2014-08-01,237.46,1.7,20140801
132,CUSR0000SA0,2014-07-01,237.5,2.0,20140701
133,CUSR0000SA0,2014-06-01,237.23,2.09,20140601
134,CUSR0000SA0,2014-05-01,236.92,2.2,20140501
135,CUSR0000SA0,2014-04-01,236.47,2.0,20140401
136,CUSR0000SA0,2014-03-01,236.03,1.6,20140301
137,CUSR0000SA0,2014-02-01,235.55,1.1,20140201
138,CUSR0000SA0,2014-01-01,235.29,1.6,20140101
139,CUSR0000SA0,2013-12-01,234.72,1.5,20131201
140,CUSR0000SA0,2013-11-01,234.1,1.2,20131101
141,CUSR0000SA0,2013-10-01,233.67,0.89,20131001
142,CUSR0000SA0,2013-09-01,233.54,1.1,20130901
143,CUSR0000SA0,2013-08-01,233.46,1.5,20130801
144,CUSR0000SA0,2013-07-01,232.9,1.89,20130701
145,CUSR0000SA0,2013-06-01,232.45,1.7,20130601
146,CUSR0000SA0,2013-05-01,231.89,1.39,20130501
147,CUSR0000SA0,2013-04-01,231.8,1.1,20130401
148,CUSR0000SA0,2013-03-01,232.28,1.5,20130301
149,CUSR0000SA0,2013-02-01,232.94,2.0,20130201
150,CUSR0000SA0,2013-01-01,231.68,1.7,20130101
151,CUSR0000SA0,2012-12-01,231.22,1.79,20121201
152,CUSR0000SA0,2012-11-01,231.25,1.79,20121101
153,CUSR0000SA0,2012-10-01,231.64,2.2,20121001
154,CUSR0000SA0,2012-09-01,231.01,1.89,20120901
155,CUSR0000SA0,2012-08-01,229.92,1.7,20120801
156,CUSR0000SA0,2012-07-01,228.59,1.39,20120701
157,CUSR0000SA0,2012-06-01,228.52,1.7,20120601
158,CUSR0000SA0,2012-05-01,228.71,1.7,20120501
159,CUSR0000SA0,2012-04-01,229.19,2.29,20120401
160,CUSR0000SA0,2012-03-01,228.81,2.59,20120301
161,CUSR0000SA0,2012-02-01,228.33,2.9,20120201
162,CUSR0000SA0,2012-01-01,227.84,3.0,20120101
163,CUSR0000SA0,2011-12-01,227.22,3.09,20111201
164,CUSR0000SA0,2011-11-01,227.17,3.5,20111101
165,CUSR0000SA0,2011-10-01,226.75,3.5,20111001
166,CUSR0000SA0,2011-09-01,226.6,3.79,20110901
167,CUSR0000SA0,2011-08-01,226.11,3.79,20110801
168,CUSR0000SA0,2011-07-01,225.4,3.59,20110701
169,CUSR0000SA0,2011-06-01,224.81,3.5,20110601
170,CUSR0000SA0,2011-05-01,224.81,3.5,20110501
